"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
45,"M237 UP85ET 7866","Primary - Auto Tipper",654,"W31R1","31","5.97","3.16","20.23","52.84%","07:45 AM","12:55 PM","5:09"
46,"M266 UP85ET 7864","Primary - Auto Tipper",506,"W8R2","14","6.87","3.58","28.37","52.06%","07:28 AM","12:30 PM","5:02"
47,"UP85ET 7856","Primary - Auto Tipper",631,"W34R1","34","10.93","5.64","28.42","51.58%","07:52 AM","01:20 PM","5:27"
48,"M036 UP14PT8105_C","Primary - Auto Tipper",553,"W43R2","43","11.49","5.91","32.70","51.42%","07:55 AM","11:33 AM","3:38"
49,"M129   UP85AG0780","Primary - Auto Tipper",535,"W32R2","32","16.98","8.66","35.40","51.01%","07:49 AM","12:36 PM","4:47"
50,"M273 UP85ET 7846","Primary - Auto Tipper",595,"W6R4","6","12.63","6.44","39.48","50.93%","08:41 AM","11:56 AM","3:15"
51,"M004 UP14PT7951","Primary - Auto Tipper",521,"W12R4","12","5.26","2.66","24.68","50.63%","08:54 AM","11:39 AM","2:44"
52,"M115 UP85AG0887_C","Primary - Auto Tipper",605,"W19R3","14","2.49","1.26","24.55","50.36%","07:39 AM","11:41 AM","4:01"
53,"M014 UP14PT7936","Primary - Auto Tipper",624,"W1R2","1","9.70","4.83","39.05","49.74%","09:09 AM","11:36 AM","2:26"
54,"M012 UP14PT7946","Primary - Auto Tipper",556,"W44R1","44","7.30","3.62","30.37","49.67%","07:54 AM","01:05 PM","5:11"
55,"UP85FT2577","Primary - Auto Tipper",562,"W46R1","46","11.50","5.66","27.47","49.19%","07:28 AM","11:22 AM","3:54"
56,"M244 UP85AG0789_C","Primary - Auto Tipper",691,"W51R3","51","12.52","5.93","12.65","47.41%","07:56 AM","10:48 AM","2:51"
57,"MR035-70148598","Primary - Wheel Barrow",694,"W56WBR1","56","1.53","0.72","3.16","47.01%","07:20 AM","10:30 AM","3:10"
58,"M094   UP85AG0759","Primary - Auto Tipper",719,"W12R1","12","10.94","5.14","31.54","46.96%","08:09 AM","01:21 PM","5:12"
59,"M142 UP85ET 7844","Primary - Auto Tipper",660,"W39R3","22","6.92","3.21","29.98","46.46%","07:36 AM","10:28 AM","2:52"
60,"DL5TGD9454","Primary - Three Wheeler (ER)",518,"W22R2","4","3.30","1.50","15.01","45.54%","07:40 AM","10:20 AM","2:40"
61,"M086   UP85AG0880","Primary - Auto Tipper",628,"W26R1","26","3.40","1.55","23.23","45.40%","08:16 AM","12:39 PM","4:23"
62,"M058 UP85AG0950","Primary - Auto Tipper",659,"W45R1","45","8.25","3.71","33.14","45.01%","07:41 AM","09:57 AM","2:16"
63,"M174 UP85AG0771","Primary - Auto Tipper",604,"W18R3","18","2.54","1.13","8.03","44.64%","09:13 AM","10:49 AM","1:35"
64,"M254 UP85ET 7853","Primary - Auto Tipper",545,"W37R2","37","7.02","3.10","24.97","44.20%","09:56 AM","12:05 PM","2:09"
65,"MR013-70147533","Primary - Manual Rickshaw",614,"W12MR1","12","1.32","0.58","3.26","44.10%","07:35 AM","10:25 AM","2:49"
66,"M231 UP85ET 7837","Primary - Auto Tipper",670,"W54R3","54","6.21","2.74","35.38","44.05%","07:08 AM","01:13 PM","6:04"
67,"M126  UP85AG0799","Primary - Auto Tipper",661,"W3R1","3","7.54","3.29","24.72","43.55%","08:07 AM","12:07 PM","4:00"
68,"M117   UP85AG0765_C","Primary - Auto Tipper",584,"W65R2","65","0.58","0.25","13.73","43.49%","09:19 AM","11:47 AM","2:28"
69,"M055 UP85AG0891_C","Primary - Auto Tipper",698,"W53R1","26","4.30","1.86","20.17","43.23%","08:39 AM","12:01 PM","3:21"
70,"M259 UP85ET 7852","Primary - Auto Tipper",621,"W19R1","7","10.20","4.40","29.58","43.11%","07:57 AM","12:12 PM","4:15"
71,"M183 UP85AG0912(ER)","Primary - Three Wheeler (ER)",577,"W58R1","58","4.84","2.07","11.30","42.80%","07:09 AM","10:40 AM","3:31"
72,"DL51GD9464","Primary - Three Wheeler (ER)",708,"W64R2","64","0.81","0.35","5.71","42.68%","07:48 AM","10:00 AM","2:12"
73,"UP85FT2588","Primary - Auto Tipper",534,"W32R1","32","10.14","4.32","56.97","42.62%","07:00 AM","12:26 PM","5:25"
74,"M126  UP85AG0799","Primary - Auto Tipper",662,"W3R2","3","6.35","2.70","24.72","42.57%","10:28 AM","12:04 PM","1:35"
75,"UP14PT8106","Primary - Auto Tipper",570,"W51R2","51","8.66","3.66","29.54","42.26%","06:27 AM","01:05 PM","6:38"
76,"M108    UP85AG0796","Primary - Auto Tipper",623,"W1R1","1","9.04","3.80","33.15","41.98%","08:22 AM","11:41 AM","3:19"
77,"M026 UP14PT7718","Primary - Auto Tipper",615,"W24R4(C)","44","5.17","2.16","37.53","41.71%","08:44 AM","12:07 PM","3:23"
78,"M019 UP14PT7945","Primary - Auto Tipper",544,"W36R2","36","9.21","3.82","51.94","41.53%","07:17 AM","11:53 AM","4:36"
79,"MR006-70143904","Primary - Wheel Barrow",716,"W66WBR1","66","1.82","0.75","10.50","41.44%","06:50 AM","11:14 AM","4:24"
80,"MR030-70143656","Primary - Manual Rickshaw",702,"W5MR1","5","1.37","0.57","5.20","41.42%","06:49 AM","10:08 AM","3:19"
81,"M010 UP14PT8107","Primary - Auto Tipper",638,"W33R4","55","18.75","7.66","41.12","40.83%","08:36 AM","11:47 AM","3:10"
82,"UP85ET7857","Primary - Auto Tipper",587,"W67R2","67","10.45","4.22","25.86","40.41%","07:59 AM","11:40 AM","3:40"
83,"M180 UP85AG0685","Primary - Auto Tipper",726,"W63R2","63","4.79","1.93","25.95","40.21%","08:30 AM","10:35 AM","2:05"
84,"M269 UP85ET 7841","Primary - Auto Tipper",516,"W21R2","21","17.10","6.77","38.93","39.60%","08:00 AM","12:56 PM","4:55"
85,"MR027-70143441","Primary - Manual Rickshaw",507,"W41MR1","41","2.09","0.82","8.94","39.38%","07:58 AM","10:06 AM","2:07"
86,"M178 UP85AG0760","Primary - Auto Tipper",589,"W68R1","68","14.17","5.57","25.06","39.27%","08:22 AM","01:02 PM","4:39"
87,"MR028-70148226","Primary - Wheel Barrow",715,"W66R2","66","0.96","0.37","18.81","38.81%","10:09 AM","11:01 AM","0:51"
88,"M253 UP85ET 7854","Primary - Auto Tipper",557,"W4R1","29","5.35","2.08","11.80","38.79%","07:30 AM","09:58 AM","2:27"
