"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"78","1","M115 UP85AG0887_C","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","1","Mathura MSW Plant","10-01-2026","11:20 AM","11:21 AM","W19R3","1"
"79","4","M114    UP85AGT0957","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","10-01-2026","12:07 PM","12:13 PM","W8R1","5"
"80","4","M113   UP85AGT0966","Primary - Auto Tipper","13-Sunrakh","2","FCTS PLANT","10-01-2026","10:29 AM | 12:08 PM","10:37 AM | 12:15 PM","W13R1,W13R3","7"
"81","3","M112   UP85AG0885_C","Primary - Auto Tipper","06-Aduki","1","Mathura MSW Plant","10-01-2026","10:18 AM","10:21 AM","W23R2","2"
"82","4","M105   UP85AG0800","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","10-01-2026","08:23 AM","08:25 AM","W21R3","1"
"83","3","M100   UP85AG0886_C","Primary - Auto Tipper","41-Dhaulipiau","1","Mathura MSW Plant","10-01-2026","12:47 PM","12:48 PM","W17R1","1"
"84","4","M099 0787","Primary - Auto Tipper","21-Chaitanya Bihar","1","FCTS PLANT","10-01-2026","11:18 AM","11:28 AM","W50R1","9"
"85","4","M098   UP85AGT0956","Primary - Auto Tipper","51-Gaushala Nagar","2","FCTS PLANT","10-01-2026","10:34 AM | 01:19 PM","10:41 AM | 01:28 PM","W51R1","7"
"86","2","M095    UP85AG0788","Primary - Auto Tipper","39-Mahavidhya Colony","1","Mathura MSW Plant","10-01-2026","02:53 PM","02:56 PM","W39R2","2"
"87","1","M092 UP14PT7727_C","Primary - Auto Tipper","02-Ambedkar Nagar","1","Mathura MSW Plant","10-01-2026","10:28 AM","10:30 AM","W2R2(C)","1"
"88","1","M086   UP85AG0880","Primary - Auto Tipper","26-Naya Nagla","1","Mathura MSW Plant","10-01-2026","11:21 AM","11:24 AM","W26R1","3"
"89","3","M081  UP85AG0893_C","Primary - Auto Tipper","33-Palikhera","1","Mathura MSW Plant","10-01-2026","11:31 AM","11:32 AM","W28R2,W26R2","1"
"90","1","M078   UP85AG0757","Primary - Auto Tipper","04-Ishapur Yamunapar","1","RC Sonveer","10-01-2026","10:20 AM","10:33 AM","W43R4,W16R5","12"
"91","3","M076  UP85AG0779","Primary - Auto Tipper","33-Palikhera","2","RC Sonveer","10-01-2026","09:09 AM | 10:48 AM","09:10 AM | 10:54 AM","W33R2,W16R6","3"
